,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,BUENOS AIRES,Bahía Blanca,Villa Bordeau,--,--,--,--,SI,SI,--,--,--
1,BUENOS AIRES,Bahía Blanca,Villa Espora,--,--,--,--,--,--,--,--,--
2,BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,--
3,BUENOS AIRES,Balcarce,Los Pinos,--,--,--,--,--,--,SI,SI,--
4,BUENOS AIRES,Balcarce,Napaleofú,--,--,--,SI,SI,SI,SI,SI,--
5,BUENOS AIRES,Balcarce,Ramos Otero,--,--,--,--,SI,--,--,SI,--
6,BUENOS AIRES,Balcarce,San Agustín,--,--,--,--,--,--,SI,SI,--
7,BUENOS AIRES,Balcarce,Villa Laguna La Brava,--,--,--,--,SI,SI,SI,SI,--
8,BUENOS AIRES,Baradero,Baradero,SI,SI,--,SI,SI,SI,SI,SI,SI
9,BUENOS AIRES,Baradero,Irineo Portela,--,--,--,SI,--,--,SI,SI,SI
10,BUENOS AIRES,Baradero,Santa Coloma,--,--,--,--,SI,--,--,SI,--
11,BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,--,--,--,SI,SI,SI,SI,--
12,BUENOS AIRES,Benito Juárez,Barker,--,--,SI,SI,SI,SI,SI,SI,SI
13,CHUBUT,Futaleufú,Lago Rosario,--,--,--,--,--,--,SI,--,SI
14,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,--
15,BUENOS AIRES,General Las Heras,La Choza,--,--,--,--,--,--,--,--,--
16,BUENOS AIRES,General Las Heras,Lozano,--,--,--,--,--,--,--,--,SI
17,BUENOS AIRES,General Las Heras,Plomer,--,--,--,--,--,--,SI,--,--
18,BUENOS AIRES,General Las Heras,Villars,--,SI,SI,SI,--,--,SI,--,--
19,BUENOS AIRES,General Lavalle,Chacras de San Clemente,--,--,--,--,--,--,--,SI,--
20,BUENOS AIRES,General Lavalle,General Lavalle,--,SI,--,SI,SI,SI,SI,SI,SI
21,BUENOS AIRES,General Lavalle,Pavón,--,--,--,SI,SI,SI,--,SI,--
22,BUENOS AIRES,General Paz,Barrio Río Salado,--,--,--,--,--,--,--,--,--
23,BUENOS AIRES,General Paz,Loma Verde,--,--,--,--,SI,SI,SI,SI,--
24,BUENOS AIRES,General Paz,Ranchos,SI,--,SI,SI,SI,SI,SI,SI,--
25,BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),--,--,--,--,--,--,SI,SI,--
26,BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,--,--,--,SI,SI,SI,SI,--
27,MISIONES,San Ignacio,General Urquiza,--,--,--,--,--,--,--,SI,--
28,BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),--,SI,--,SI,SI,--,SI,--,--
29,BUENOS AIRES,Magdalena,Los Naranjos,--,--,--,SI,--,--,--,--,--
30,BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,--,SI,SI,SI,SI,--
31,BUENOS AIRES,Magdalena,Roberto J. Payró,--,--,--,--,--,--,--,SI,--
32,BUENOS AIRES,Magdalena,Vieytes,--,--,--,SI,--,--,SI,SI,--
33,BUENOS AIRES,Maipú,Las Armas,SI,--,--,--,SI,SI,SI,SI,--
34,BUENOS AIRES,Maipú,Maipú,SI,--,SI,--,SI,SI,SI,SI,--
35,BUENOS AIRES,Maipú,Santo Domingo,--,--,--,--,SI,--,SI,SI,SI
36,BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,SI,--,--,SI,SI,SI,--,--,--
37,BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,--,SI,SI,SI,SI,--,--
38,BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,--,SI,SI,SI,SI,SI,--
39,BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,--
40,BUENOS AIRES,San Fernando,Victoria,SI,SI,--,SI,SI,SI,SI,SI,SI
41,BUENOS AIRES,San Fernando,Virreyes,SI,SI,--,SI,SI,SI,SI,--,--
42,BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,--,SI
43,BUENOS AIRES,San Isidro,Beccar,SI,SI,--,SI,SI,SI,SI,SI,--
44,BUENOS AIRES,San Isidro,Boulogne Sur Mer,SI,SI,--,SI,SI,SI,SI,SI,--
45,CABA,COMUNA 04,NUEVA POMPEYA,SI,SI,SI,SI,SI,SI,SI,SI,SI
46,CHACO,San Fernando,Fontana,--,--,--,SI,SI,SI,--,SI,--
47,CHACO,San Fernando,Puerto Vilelas,--,--,--,SI,SI,SI,--,--,SI
48,CHACO,San Fernando,Resistencia,SI,SI,SI,SI,SI,SI,SI,SI,SI
49,CHACO,San Lorenzo,Samuhú,--,--,--,--,SI,--,--,--,SI
50,BUENOS AIRES,Tandil,Desvío Aguirre,--,--,--,SI,SI,SI,--,SI,--
51,BUENOS AIRES,Tandil,Gardey,--,--,--,SI,SI,SI,SI,SI,--
52,BUENOS AIRES,Tandil,María Ignacia (Est. Vela),SI,--,--,--,SI,--,SI,SI,--
53,BUENOS AIRES,Tandil,Tandil,SI,SI,SI,SI,SI,SI,SI,SI,SI
54,BUENOS AIRES,Tapalqué,Crotto,--,--,--,--,--,--,--,--,--
55,BUENOS AIRES,Tapalqué,Tapalqué,--,--,--,--,SI,SI,SI,--,SI
56,BUENOS AIRES,Tapalqué,Velloso,--,--,--,--,--,--,--,--,--
57,BUENOS AIRES,Tigre,Benavídez,SI,SI,--,SI,SI,SI,SI,SI,SI
58,BUENOS AIRES,Tigre,Dique Luján,SI,SI,--,SI,SI,SI,SI,SI,--
59,CABA,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,SI,SI,SI,SI
60,CHUBUT,Futaleufú,Los Cipreses,--,--,--,--,--,--,SI,--,SI
61,CHUBUT,Futaleufú,Trevelín,SI,--,SI,--,SI,SI,SI,SI,SI
62,CHUBUT,Futaleufú,Villa Futalaufquen,--,--,--,--,--,--,SI,--,SI
63,CHUBUT,Gaiman,28 de Julio,--,--,--,SI,SI,SI,--,--,SI
64,CHUBUT,Gaiman,Dique Florentino Ameghino,--,--,--,--,--,--,SI,--,--
65,CHUBUT,Gaiman,Dolavon,--,--,SI,SI,SI,--,SI,--,SI
66,BUENOS AIRES,San Isidro,Martínez,SI,SI,SI,SI,SI,SI,SI,SI,SI
67,BUENOS AIRES,San Isidro,San Isidro,SI,SI,SI,SI,SI,SI,SI,SI,SI
68,BUENOS AIRES,San Isidro,Villa Adelina,SI,SI,--,SI,SI,SI,SI,--,--
69,BUENOS AIRES,San Miguel,Bella Vista,SI,SI,SI,SI,SI,SI,SI,SI,SI
70,BUENOS AIRES,San Miguel,Campo De Mayo,--,--,--,--,SI,SI,--,--,SI
71,BUENOS AIRES,San Miguel,Muñiz,SI,SI,SI,SI,SI,SI,SI,--,--
72,CORDOBA,Cruz del Eje,Canteras Quilpo,--,--,--,--,--,--,SI,SI,--
73,CORDOBA,Cruz del Eje,Cruz de Caña,--,--,--,--,--,--,--,SI,--
74,BUENOS AIRES,Berisso,Berisso,SI,SI,SI,SI,SI,SI,SI,SI,--
75,BUENOS AIRES,Berisso,Los Talas,--,--,--,--,--,--,--,--,--
76,BUENOS AIRES,Berisso,Villa Arguello,--,--,--,SI,SI,SI,--,SI,--
77,BUENOS AIRES,Berisso,Villa Dolores,--,--,--,--,SI,SI,--,--,--
78,BUENOS AIRES,Berisso,Villa Independencia,--,--,--,--,--,--,--,--,--
79,BUENOS AIRES,Berisso,Villa Nueva,--,--,--,SI,SI,SI,--,SI,--
80,BUENOS AIRES,Berisso,Villa Porteña,--,--,--,--,--,--,--,--,--
81,BUENOS AIRES,Berisso,Villa Progreso,--,--,--,SI,--,--,--,SI,--
82,BUENOS AIRES,Berisso,Villa San Carlos,--,--,--,--,SI,SI,--,--,--
83,BUENOS AIRES,Berisso,Villa Zula,--,--,--,--,--,--,--,--,--
84,BUENOS AIRES,Bolívar,Hale,SI,--,--,--,--,--,SI,--,--
85,BUENOS AIRES,Bolívar,Juan F. Ibarra,--,--,--,--,--,--,--,--,--
86,BUENOS AIRES,Bolívar,Mariano Unzué,--,--,--,--,--,--,--,--,--
87,BUENOS AIRES,Bolívar,Paula,--,--,--,--,--,--,--,--,SI
88,BUENOS AIRES,Bolívar,Pirovano,--,--,--,--,--,SI,SI,SI,--
89,BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),SI,SI,SI,--,SI,SI,SI,SI,--
90,BUENOS AIRES,Bolívar,Urdampilleta,--,--,SI,--,SI,SI,SI,SI,--
91,BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,--,--,--,--,--,--,--,--,--
92,BUENOS AIRES,Bragado,Asamblea,--,--,--,--,--,--,--,--,--
93,CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI
94,CORDOBA,Río Cuarto,Alpa Corral,--,--,--,--,SI,SI,--,--,--
95,CORDOBA,Río Cuarto,Berrotarán,SI,SI,--,SI,SI,SI,SI,SI,--
96,CORDOBA,Río Cuarto,Bulnes,SI,--,--,--,SI,SI,--,--,SI
97,CORDOBA,Río Cuarto,Chaján,--,--,--,SI,SI,SI,SI,--,SI
98,CORDOBA,Río Cuarto,Chucul,SI,--,--,SI,SI,SI,SI,SI,--
99,CORDOBA,Río Cuarto,Coronel Baigorria,--,--,--,SI,SI,SI,--,--,--
100,CHACO,San Lorenzo,Villa Berthet,--,--,--,SI,SI,SI,--,SI,SI
101,CHACO,Sargento Cabral,Capitán Solari,--,--,--,SI,SI,SI,SI,SI,--
102,CHACO,Sargento Cabral,Colonia Elisa,--,--,--,--,SI,SI,SI,--,SI
103,CHACO,Sargento Cabral,Colonias Unidas,--,--,--,SI,SI,SI,SI,SI,--
104,CHACO,Sargento Cabral,Ingeniero Barbet,--,--,--,--,--,--,--,--,--
105,CHACO,Sargento Cabral,Las Garcitas,--,--,--,--,SI,SI,SI,SI,SI
106,CHACO,Tapenagá,Charadai,--,--,--,SI,SI,SI,SI,--,SI
107,CHACO,Tapenagá,Cote Lai,--,--,--,--,SI,--,SI,--,--
108,CHACO,Tapenagá,Haumonía,--,--,--,--,--,--,--,--,--
109,CHACO,Tapenagá,Horquilla,--,--,--,--,--,--,--,--,--
110,CHACO,Tapenagá,La Sabana,--,--,--,--,--,--,--,--,--
111,CHUBUT,Biedma,Arroyo Verde,--,--,--,--,--,--,--,--,SI
112,CHUBUT,Biedma,Puerto Madryn,SI,SI,SI,SI,SI,SI,SI,SI,SI
113,CHUBUT,Biedma,Puerto Pirámide,--,--,--,--,SI,SI,SI,SI,SI
114,CHUBUT,Biedma,Quinta El Mirador,--,--,--,--,SI,SI,--,SI,--
115,CORDOBA,Cruz del Eje,Cruz del Eje,SI,SI,--,SI,SI,SI,SI,SI,--
116,CORDOBA,Cruz del Eje,El Brete,--,--,--,SI,--,--,--,SI,--
117,CORDOBA,Cruz del Eje,El Rincón,--,--,--,--,--,--,--,--,--
118,CORDOBA,Cruz del Eje,Guanaco Muerto,--,--,--,--,--,--,--,SI,--
119,CORDOBA,Cruz del Eje,La Banda,--,--,--,--,--,--,--,--,SI
120,CORDOBA,Cruz del Eje,La Batea,--,--,--,--,--,--,--,SI,--
121,CORDOBA,Cruz del Eje,La Higuera,SI,--,--,--,SI,--,SI,SI,--
122,CORDOBA,Cruz del Eje,Las Cañadas,--,--,--,--,--,--,--,--,--
123,CORDOBA,Cruz del Eje,Las Playas,--,--,--,SI,--,--,--,SI,--
124,CORDOBA,Cruz del Eje,Los Chañaritos,--,--,--,SI,--,--,--,SI,--
125,CORDOBA,Cruz del Eje,Media Naranja,--,--,--,--,--,--,--,SI,--
126,CORDOBA,Cruz del Eje,Paso Viejo,SI,--,--,--,SI,SI,SI,SI,--
127,CORDOBA,Cruz del Eje,San Marcos Sierra,--,SI,--,SI,SI,SI,SI,SI,--
128,CORDOBA,Cruz del Eje,Serrezuela,SI,--,--,SI,SI,SI,SI,SI,--
129,CORDOBA,Cruz del Eje,Tuclame,--,--,--,--,--,--,--,SI,--
130,BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,--,--,SI,SI,SI,SI,SI,SI
131,BUENOS AIRES,General Pueyrredón,El Marquesado,--,--,--,--,--,--,SI,SI,--
132,BUENOS AIRES,General Pueyrredón,Estacion Camet,--,--,--,--,SI,SI,--,--,--
133,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,--,--,SI,SI,SI,--,SI,SI
134,BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
135,BUENOS AIRES,General Pueyrredón,Punta Mogotes,--,--,--,--,SI,SI,--,--,--
136,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,--,--,SI,SI,SI,SI,SI,--
137,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,--,--,--,SI,SI,SI,--,--,--
138,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,--,--,--,SI,SI,--,--,--
139,CABA,COMUNA 05,ALMAGRO,SI,SI,SI,SI,SI,SI,SI,SI,SI
140,CHUBUT,Escalante,Comodoro Rivadavia,SI,SI,SI,SI,SI,SI,SI,SI,SI
141,CHUBUT,Escalante,Diadema Argentina,--,--,--,--,SI,SI,--,SI,--
142,CHUBUT,Escalante,Km. 11 - Cuarteles,--,--,--,--,--,--,--,--,--
143,CHUBUT,Escalante,KM. 3 - General Mosconi,--,--,--,--,SI,SI,--,--,--
144,CHUBUT,Escalante,KM. 5 - Presidente Ortiz,--,--,--,--,--,--,--,--,--
145,CHUBUT,Escalante,KM. 8 - Don Bosco,--,--,--,--,SI,SI,--,--,--
146,CABA,COMUNA 05,BOEDO,SI,SI,SI,SI,SI,SI,SI,SI,SI
147,CHUBUT,Escalante,Rada Tilly,SI,SI,SI,SI,SI,SI,SI,SI,--
148,CHUBUT,Florentino Ameghino,Camarones,--,--,--,--,SI,--,SI,SI,SI
149,CHUBUT,Florentino Ameghino,Garayalde,--,--,--,--,--,--,--,SI,--
150,CHUBUT,Futaleufú,Aldea Escolar,--,--,--,--,--,--,SI,--,SI
151,CHUBUT,Futaleufú,Corcovado,--,--,SI,--,--,--,SI,--,SI
152,CHUBUT,Futaleufú,Esquel,SI,SI,SI,--,SI,SI,SI,SI,SI
153,BUENOS AIRES,Mar Chiquita,General Pirán,--,--,SI,SI,SI,SI,SI,SI,--
154,BUENOS AIRES,Mar Chiquita,La Armonía,--,--,--,--,SI,SI,--,SI,--
155,BUENOS AIRES,Mar Chiquita,La Baliza,--,--,--,--,SI,SI,--,--,--
156,BUENOS AIRES,Mar Chiquita,La Caleta,--,--,--,--,--,--,--,SI,--
157,BUENOS AIRES,Mar Chiquita,Mar Chiquita,--,--,--,--,SI,SI,SI,--,--
158,BUENOS AIRES,Mar Chiquita,Mar de Cobo,SI,--,SI,SI,--,--,SI,--,--
159,BUENOS AIRES,Mar Chiquita,Playa Dorada,--,--,--,--,SI,SI,--,SI,--
160,BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,SI,--,--,SI,SI,SI,--,SI,--
161,BUENOS AIRES,Mar Chiquita,Santa Elena,--,--,--,--,--,--,--,--,--
162,BUENOS AIRES,Mar Chiquita,Vivoratá,--,--,--,SI,SI,SI,SI,SI,--
163,BUENOS AIRES,Marcos Paz,Barrio Santa Rosa,--,--,--,--,SI,--,--,--,--
164,BUENOS AIRES,Marcos Paz,Marcos Paz,SI,SI,SI,SI,SI,SI,SI,SI,SI
165,BUENOS AIRES,Mercedes,Goldney,--,--,--,--,--,--,--,--,--
166,BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),SI,--,SI,SI,SI,SI,SI,SI,SI
167,BUENOS AIRES,Benito Juárez,López,--,--,--,SI,--,--,--,SI,--
168,BUENOS AIRES,Benito Juárez,Tedín Uriburu,--,--,--,--,SI,SI,--,--,--
169,BUENOS AIRES,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),--,--,--,SI,SI,SI,--,SI,SI
170,BUENOS AIRES,Berazategui,Berazategui,SI,SI,SI,SI,SI,SI,SI,SI,SI
171,BUENOS AIRES,Berazategui,Berazategui Oeste,SI,SI,--,SI,SI,SI,SI,--,--
172,BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,SI,SI,--,SI,SI,SI,SI,--,--
173,BUENOS AIRES,Berazategui,Centro Agrícola El Pato,SI,SI,--,--,SI,SI,SI,SI,--
174,CORDOBA,Totoral,Sarmiento,SI,--,--,--,--,--,SI,--,--
175,CORDOBA,Totoral,Simbolar,--,--,--,--,--,--,SI,--,--
176,BUENOS AIRES,Berazategui,Guillermo E. Hudson,SI,SI,SI,SI,SI,SI,SI,--,--
177,BUENOS AIRES,Berazategui,Juan María Gutierrez,SI,SI,SI,SI,SI,SI,SI,SI,--
178,BUENOS AIRES,Berazategui,Pereyra,SI,SI,SI,SI,SI,--,SI,--,--
179,BUENOS AIRES,Berazategui,Plátanos,--,SI,--,SI,SI,SI,SI,--,--
180,BUENOS AIRES,Berazategui,Ranelagh,SI,SI,SI,SI,SI,SI,SI,--,SI
181,BUENOS AIRES,Berazategui,Villa España,SI,SI,--,SI,SI,SI,SI,--,--
182,BUENOS AIRES,Berisso,Barrio Banco Provincia,--,--,--,--,SI,--,--,--,--
183,BUENOS AIRES,Berisso,Barrio El Carmen (Este),--,--,--,SI,SI,SI,--,SI,--
184,BUENOS AIRES,Berisso,Barrio Universitario,--,--,--,--,SI,SI,--,--,--
185,ENTRE RIOS,Colón,El Colorado,--,--,--,--,SI,SI,--,--,SI
186,ENTRE RIOS,Colón,Hambis,--,--,--,--,--,--,--,SI,--
187,BUENOS AIRES,General Pinto,General Pinto,--,--,SI,--,SI,SI,SI,--,SI
188,BUENOS AIRES,General Pinto,Germania (Est. Mayor José Orellano),SI,--,--,--,SI,SI,--,--,--
189,BUENOS AIRES,General Pinto,Gunther,--,--,--,--,--,SI,--,--,--
190,BUENOS AIRES,General Pinto,Villa Francia (Est. Coronel Granada),--,--,--,SI,SI,--,SI,--,SI
191,BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),--,--,--,--,--,--,--,--,--
192,BUENOS AIRES,General Pueyrredón,Barrio Colinas Verdes,--,--,--,--,SI,SI,--,SI,--
193,BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,--,--,--,--,SI,--,--,SI,--
194,BUENOS AIRES,General Pueyrredón,Barrio El Casal,--,--,--,--,--,--,--,SI,--
195,BUENOS AIRES,General Pueyrredón,Barrio El Coyunco,--,--,--,SI,SI,SI,--,SI,--
196,BUENOS AIRES,General Pueyrredón,Barrio La Gloria,--,--,--,--,SI,SI,--,SI,--
197,BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,--,--,--,SI,SI,SI,--,SI,SI
198,BUENOS AIRES,General Pueyrredón,Batán,SI,--,--,SI,SI,SI,SI,SI,SI
199,BUENOS AIRES,General Pueyrredón,Camet,SI,--,--,SI,SI,SI,SI,SI,--
200,ENTRE RIOS,Colón,Hocker,--,--,--,--,SI,--,--,SI,--
201,BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,SI,SI,SI,SI,SI,SI,SI,SI,--
202,BUENOS AIRES,Malvinas Argentinas,Los Polvorines,SI,SI,SI,SI,SI,SI,SI,SI,SI
203,BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,--,SI,--,SI,--,--,--,SI,--
204,BUENOS AIRES,Malvinas Argentinas,Tortuguitas,SI,SI,--,SI,SI,SI,SI,--,--
205,BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,SI,SI,SI,SI,SI,SI,SI,SI,--
206,BUENOS AIRES,Mar Chiquita,Atlantida,--,--,--,--,SI,SI,--,--,--
207,BUENOS AIRES,Mar Chiquita,Camet Norte,--,--,--,--,SI,SI,--,--,--
208,BUENOS AIRES,Mar Chiquita,Coronel Vidal,SI,SI,--,SI,SI,SI,SI,SI,--
209,BUENOS AIRES,Mar Chiquita,Frente Mar,--,--,--,--,SI,SI,--,--,--
210,BUENOS AIRES,San Miguel,San Miguel,SI,SI,SI,SI,SI,SI,SI,SI,SI
211,BUENOS AIRES,San Nicolás,Campos Salles,--,--,--,--,--,--,--,--,--
212,BUENOS AIRES,San Nicolás,Conesa,SI,--,--,--,SI,SI,SI,--,SI
213,BUENOS AIRES,San Nicolás,Erézcano,--,--,--,--,--,--,--,SI,--
214,BUENOS AIRES,San Nicolás,General Rojo,--,--,--,SI,SI,SI,SI,--,SI
215,BUENOS AIRES,San Nicolás,La Emilia,--,--,--,--,SI,SI,--,--,--
216,BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,SI,SI,SI,SI,SI,SI,SI,SI,SI
217,BUENOS AIRES,San Nicolás,Villa Campi,--,--,--,--,--,SI,--,--,--
218,BUENOS AIRES,San Nicolás,Villa Canto,--,--,--,--,SI,SI,--,--,--
219,BUENOS AIRES,San Nicolás,Villa Esperanza,--,--,--,--,--,--,--,--,--
220,BUENOS AIRES,San Nicolás,Villa Riccio,--,--,--,--,--,--,--,--,--
221,BUENOS AIRES,San Pedro,Gobernador Castro,--,--,--,--,SI,SI,--,--,--
222,BUENOS AIRES,San Pedro,Ingeniero Moneta,--,--,--,--,--,--,--,--,--
223,BUENOS AIRES,San Pedro,Obligado,--,--,--,--,SI,--,--,--,--
224,BUENOS AIRES,San Pedro,Pueblo Doyle,--,--,--,--,--,--,--,--,--
225,BUENOS AIRES,San Pedro,Río Tala,--,--,--,SI,SI,SI,--,--,--
226,BUENOS AIRES,San Pedro,San Pedro,SI,SI,--,SI,SI,SI,SI,SI,SI
227,BUENOS AIRES,San Pedro,Santa Lucía,--,--,--,SI,SI,SI,SI,--,SI
228,BUENOS AIRES,San Vicente,Alejandro Korn,SI,SI,SI,SI,SI,SI,SI,SI,--
229,BUENOS AIRES,San Vicente,Domselaar,--,SI,--,--,SI,SI,SI,SI,--
230,BUENOS AIRES,San Vicente,San Vicente,SI,SI,SI,SI,SI,SI,SI,SI,--
231,BUENOS AIRES,Suipacha,General Rivas,SI,--,--,--,SI,--,SI,SI,--
232,BUENOS AIRES,Suipacha,Suipacha,SI,--,SI,SI,SI,SI,SI,SI,--
233,BUENOS AIRES,Tandil,De la Canal,--,--,--,--,--,--,--,SI,--
234,CABA,COMUNA 04,PARQUE PATRICIOS,SI,SI,SI,SI,SI,SI,SI,SI,SI
235,CHUBUT,Gaiman,Gaiman,SI,--,SI,SI,SI,SI,SI,--,SI
236,CHUBUT,Gastre,Blancuntre,--,--,--,--,--,--,SI,--,SI
237,CHUBUT,Gastre,El Escorial,--,--,--,--,--,--,SI,--,SI
238,CHUBUT,Gastre,Gastre,--,--,--,--,SI,--,SI,SI,--
239,CHUBUT,Gastre,Lagunita Salada,--,--,--,--,--,--,SI,SI,SI
240,CHUBUT,Gastre,Yala Laubat,--,--,--,--,--,--,--,--,SI
241,CHUBUT,Languiñeo,Aldea Epulef,--,--,--,--,--,--,SI,SI,SI
242,CHUBUT,Languiñeo,Carrenleufú,--,--,--,--,--,--,SI,--,SI
243,ENTRE RIOS,Colón,Hocker,--,--,--,--,SI,--,--,--,--
244,CABA,COMUNA 10,MONTE CASTRO,SI,SI,SI,SI,SI,SI,SI,SI,SI
245,CORDOBA,Río Cuarto,Coronel Moldes,SI,--,--,--,SI,SI,SI,--,--
246,CORDOBA,Río Cuarto,Elena,SI,--,--,SI,SI,SI,SI,SI,--
247,CORDOBA,Río Cuarto,La Carolina,SI,--,--,--,--,SI,SI,SI,SI
248,CORDOBA,Río Cuarto,La Cautiva,--,--,--,--,SI,--,SI,--,--
249,CORDOBA,Río Cuarto,La Gilda,--,--,--,--,--,--,--,--,--
250,CORDOBA,Río Cuarto,Las Acequias,SI,--,--,SI,SI,SI,SI,--,--
251,CABA,COMUNA 13,BELGRANO,SI,SI,SI,SI,SI,SI,SI,SI,SI
252,CHUBUT,Languiñeo,Colan Conhue,--,--,--,--,--,--,SI,SI,SI
253,CHUBUT,Languiñeo,Paso del Sapo,--,--,--,--,--,--,SI,SI,SI
254,CHUBUT,Languiñeo,Tecka,--,--,--,--,--,--,SI,--,SI
255,CHUBUT,Mártires,El Mirasol,--,--,--,--,--,--,--,--,SI
256,CHUBUT,Mártires,Las Plumas,--,--,--,--,--,--,SI,--,SI
257,CHUBUT,Paso de Indios,Cerro Cóndor,--,SI,--,--,--,--,SI,--,SI
258,CHUBUT,Paso de Indios,Los Altares,--,--,--,--,--,--,SI,SI,SI
259,CHUBUT,Paso de Indios,Paso de Indios,--,--,--,--,SI,--,SI,--,SI
260,CHUBUT,Rawson,Playa Magagna,--,SI,--,--,--,--,--,SI,--
261,BUENOS AIRES,Bragado,Bragado,SI,SI,SI,SI,SI,SI,SI,SI,--
262,BUENOS AIRES,Bragado,Comodoro Py,--,--,--,SI,SI,SI,--,SI,--
263,BUENOS AIRES,Bragado,General O'Brien,SI,--,--,SI,SI,SI,SI,SI,--
264,BUENOS AIRES,Bragado,Irala,--,SI,--,--,SI,--,SI,SI,--
265,BUENOS AIRES,Bragado,La Limpia,--,--,--,--,--,--,--,--,--
266,BUENOS AIRES,Bragado,Máximo Fernández (Est. Juan F. Salaberry),--,--,--,--,--,--,--,--,--
267,BUENOS AIRES,Bragado,Mechita (Est. Mecha),SI,SI,--,--,--,--,--,SI,--
268,BUENOS AIRES,Bragado,Olascoaga,--,--,--,--,--,--,--,SI,--
269,BUENOS AIRES,Bragado,Warnes,SI,--,--,--,--,--,--,SI,--
270,BUENOS AIRES,Brandsen,Altamirano,--,--,--,--,SI,--,SI,--,--
271,BUENOS AIRES,Brandsen,Barrio El Mirador,--,--,--,--,SI,SI,--,--,--
272,BUENOS AIRES,Brandsen,Barrio Las Golondrinas,--,--,--,--,SI,SI,--,--,--
273,BUENOS AIRES,Brandsen,Barrio Los Bosquecitos,--,--,--,--,--,--,--,--,--
274,BUENOS AIRES,Brandsen,Barrio Parque Las Acacias,--,--,--,--,--,--,--,--,--
275,BUENOS AIRES,Brandsen,Campos de Roca,--,--,--,--,SI,SI,--,--,--
276,BUENOS AIRES,Brandsen,Club de Campo Las Malvinas,--,--,--,--,--,--,--,--,--
277,ENTRE RIOS,Paraná,Pueblo Moreno,--,--,--,--,--,--,--,--,--
278,RIO NEGRO,General Roca,Barrio Unión,--,--,--,--,--,--,--,SI,--
279,BUENOS AIRES,Brandsen,Coronel Brandsen,SI,SI,--,SI,SI,SI,SI,SI,--
280,BUENOS AIRES,Brandsen,Gómez,--,--,--,--,SI,--,SI,--,--
281,BUENOS AIRES,Brandsen,Jeppener,SI,--,--,SI,SI,SI,SI,--,--
282,BUENOS AIRES,Brandsen,Oliden,--,--,--,--,SI,--,SI,--,--
283,BUENOS AIRES,Brandsen,Posada de los Lagos,--,--,--,--,SI,SI,--,--,--
284,BUENOS AIRES,Brandsen,Samborombón,--,--,--,--,--,--,--,--,--
285,BUENOS AIRES,Campana,Alto Los Cardales,--,--,--,SI,SI,SI,--,SI,--
286,BUENOS AIRES,Campana,Barrio Los Pioneros,--,--,--,--,SI,SI,--,SI,--
287,BUENOS AIRES,Campana,Campana,SI,SI,SI,SI,SI,SI,SI,SI,SI
288,BUENOS AIRES,Campana,Chacras del Río Luján,--,--,--,--,SI,SI,--,SI,--
289,BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),--,SI,--,--,SI,SI,--,--,--
